wsid,mdct,date,yr,mo,da,hr
306,04/11/2006 22:00,04/11/2006,2006,11,4,22
306,04/11/2006 23:00,04/11/2006,2006,11,4,23
306,05/11/2006 0:00,05/11/2006,2006,11,5,0
306,05/11/2006 1:00,05/11/2006,2006,11,5,1
306,05/11/2006 2:00,05/11/2006,2006,11,5,2
306,05/11/2006 3:00,05/11/2006,2006,11,5,3
306,05/11/2006 4:00,05/11/2006,2006,11,5,4
306,05/11/2006 5:00,05/11/2006,2006,11,5,5
306,05/11/2006 6:00,05/11/2006,2006,11,5,6
306,05/11/2006 7:00,05/11/2006,2006,11,5,7
306,05/11/2006 8:00,05/11/2006,2006,11,5,8
306,05/11/2006 9:00,05/11/2006,2006,11,5,9
306,05/11/2006 10:00,05/11/2006,2006,11,5,10
306,05/11/2006 11:00,05/11/2006,2006,11,5,11
306,05/11/2006 12:00,05/11/2006,2006,11,5,12
306,05/11/2006 13:00,05/11/2006,2006,11,5,13
306,05/11/2006 14:00,05/11/2006,2006,11,5,14
306,05/11/2006 15:00,05/11/2006,2006,11,5,15
306,05/11/2006 16:00,05/11/2006,2006,11,5,16
306,05/11/2006 17:00,05/11/2006,2006,11,5,17
306,05/11/2006 18:00,05/11/2006,2006,11,5,18
306,05/11/2006 19:00,05/11/2006,2006,11,5,19
306,05/11/2006 20:00,05/11/2006,2006,11,5,20
306,05/11/2006 21:00,05/11/2006,2006,11,5,21
306,05/11/2006 22:00,05/11/2006,2006,11,5,22
306,05/11/2006 23:00,05/11/2006,2006,11,5,23
306,06/11/2006 0:00,06/11/2006,2006,11,6,0
306,06/11/2006 1:00,06/11/2006,2006,11,6,1
306,06/11/2006 2:00,06/11/2006,2006,11,6,2
306,06/11/2006 3:00,06/11/2006,2006,11,6,3
