wsid,mdct,wdsp,wdct,gust
306,06/11/2006 17:00,1.8,146,3.9
306,06/11/2006 18:00,1.2,114,3.3
306,06/11/2006 19:00,1.1,29,3.3
306,06/11/2006 20:00,1.9,119,3.3
306,06/11/2006 21:00,1.3,166,3.7
306,06/11/2006 22:00,0.5,163,2.1
306,06/11/2006 23:00,1.7,235,2.7
306,07/11/2006 0:00,1.6,229,2.8
306,07/11/2006 1:00,0.4,330,2.1
306,07/11/2006 2:00,0.4,270,0.9
306,07/11/2006 3:00,1.7,338,3
306,07/11/2006 4:00,1.1,236,2.7
307,25/10/2006 0:00,0,0,0
307,25/10/2006 1:00,0,0,0
307,25/10/2006 2:00,0,0,0
307,25/10/2006 3:00,0,0,0
307,25/10/2006 4:00,0,0,0
307,25/10/2006 5:00,0,0,0
307,25/10/2006 6:00,0,0,0
307,25/10/2006 7:00,0,0,0
307,25/10/2006 8:00,0,0,0
307,25/10/2006 9:00,0,0,0
307,25/10/2006 10:00,0,0,0
307,25/10/2006 11:00,0,0,0
307,25/10/2006 12:00,0,0,0
307,25/10/2006 13:00,0,0,0
307,25/10/2006 14:00,0,0,0
307,25/10/2006 15:00,2.1,56,4.8
307,25/10/2006 16:00,1.7,77,3.7
307,25/10/2006 17:00,2.4,76,4.7
307,25/10/2006 18:00,3.2,72,5.6
307,25/10/2006 19:00,2.2,34,5.1
307,25/10/2006 20:00,0.5,99,3.4
307,25/10/2006 21:00,1.9,64,4.9
307,25/10/2006 22:00,0.9,172,3.1
307,25/10/2006 23:00,1.1,250,1.8
307,26/10/2006 0:00,1.5,217,2.2
307,26/10/2006 1:00,0.7,189,2.2
307,26/10/2006 2:00,1.4,256,2.1
307,26/10/2006 3:00,1.3,236,2.1
307,26/10/2006 4:00,0.5,340,1.9
307,26/10/2006 5:00,0.5,293,1.6
307,26/10/2006 6:00,0.5,338,1.3
307,26/10/2006 7:00,0.6,275,2.2
307,26/10/2006 8:00,0.5,354,1.5
307,26/10/2006 9:00,0.5,347,1.2
307,26/10/2006 10:00,1.6,269,2.5
307,26/10/2006 11:00,1.2,323,3
307,26/10/2006 12:00,1.8,332,3.3
307,26/10/2006 13:00,2.5,12,4.9
307,26/10/2006 14:00,2.4,29,5.4
307,26/10/2006 15:00,1.6,329,6.4
307,26/10/2006 16:00,3.7,96,7.2
307,26/10/2006 17:00,3,63,6.7
307,26/10/2006 18:00,4.7,55,7.6
307,26/10/2006 19:00,4.4,50,8.3
307,26/10/2006 20:00,4,58,8.5
307,26/10/2006 21:00,2.9,44,7.5
307,26/10/2006 22:00,3.5,45,6
307,26/10/2006 23:00,3.5,41,7
307,27/10/2006 0:00,3.5,28,6.4
307,27/10/2006 1:00,2.5,12,5.8
307,27/10/2006 2:00,3.3,18,6
307,27/10/2006 3:00,2.5,15,5.6
307,27/10/2006 4:00,2.4,15,4.3
307,27/10/2006 5:00,1.3,349,4.3
307,27/10/2006 6:00,2.4,7,4.1
307,27/10/2006 7:00,3,9,6.3
307,27/10/2006 8:00,2.4,14,6.3
307,27/10/2006 9:00,2.7,360,4.8
307,27/10/2006 10:00,3.9,4,6.3
307,27/10/2006 11:00,3.5,9,6.7
307,27/10/2006 12:00,3.8,343,6.1
307,27/10/2006 13:00,4.4,10,7.5
307,27/10/2006 14:00,4.2,356,7.7
307,27/10/2006 15:00,3.1,7,7.7
307,27/10/2006 16:00,3.4,47,8
307,27/10/2006 17:00,5.8,66,8.6
307,27/10/2006 18:00,5.1,53,8.5
307,27/10/2006 19:00,6,53,10
307,27/10/2006 20:00,4.7,47,9.7
307,27/10/2006 21:00,5.1,50,9.9
307,27/10/2006 22:00,4,45,9.2
307,27/10/2006 23:00,1,321,7.2
307,28/10/2006 0:00,0.7,312,2.8
307,28/10/2006 1:00,1.2,215,2.1
307,28/10/2006 2:00,1.9,222,3.7
307,28/10/2006 3:00,3.3,193,4.9
307,28/10/2006 4:00,2.4,190,7.2
307,28/10/2006 5:00,3.2,185,6
307,28/10/2006 6:00,3.4,207,5.9
307,28/10/2006 7:00,3.4,192,7
307,28/10/2006 8:00,3.5,185,7
307,28/10/2006 9:00,3.7,197,8
307,28/10/2006 10:00,2.6,127,5.9
307,28/10/2006 11:00,2.5,195,5.4
307,28/10/2006 12:00,2.3,204,5.5
307,28/10/2006 13:00,3.5,152,5.8
307,28/10/2006 14:00,3,168,6.5
307,28/10/2006 15:00,3.9,140,6.5
307,28/10/2006 16:00,3.2,140,5.9
307,28/10/2006 17:00,4.7,134,7.3
307,28/10/2006 18:00,4.4,141,7.7
307,28/10/2006 19:00,4.8,141,8.4
307,28/10/2006 20:00,4.4,133,7.8
307,28/10/2006 21:00,4.5,139,8.4
307,28/10/2006 22:00,3.7,134,8.4
307,28/10/2006 23:00,3.2,134,7.9
307,29/10/2006 0:00,3.2,147,5.3
307,29/10/2006 1:00,2.9,151,5.3
307,29/10/2006 2:00,1.9,174,5
307,29/10/2006 3:00,1.5,211,3.7
307,29/10/2006 4:00,1.1,216,2.4
